id,order,x,y,z
31,0,-2670308.042539385,-4469710.797566228,3671585.3660516734
31,1,-2670308.3445671736,-4469711.2553613875,3671584.3696444663
31,2,-2670307.580666387,-4469711.4076095605,3671584.9620569344
32,0,-2670327.0572154783,-4469704.1590747535,3671590.227651315
32,1,-2670326.5286167595,-4469704.9244045,3671589.71863907
32,2,-2670326.018948967,-4469704.500442474,3671590.409549177
33,0,-2670340.4414600134,-4469707.678076337,3671576.1115354965
33,1,-2670337.925052644,-4469703.2956696125,3671572.6739788856
33,2,-2670338.2081559333,-4469703.238237536,3671572.0378870405
34,0,-2670342.468801559,-4469690.18530889,3671584.8476542705
34,1,-2670342.4049464343,-4469690.03304894,3671585.1124669337
34,2,-2670343.497534536,-4469689.830942624,3671584.740183499
35,0,-2670324.213413609,-4469687.914863764,3671600.852524774
35,1,-2670324.624821704,-4469687.227111347,3671601.3869454027
35,2,-2670324.390122593,-4469688.001780981,3671600.567914526
36,0,-2670353.7433419535,-4469704.028739756,3671560.1334776045
36,1,-2670352.7044658996,-4469707.593732125,3671557.9550657645
36,2,-2670352.8218279947,-4469705.943710061,3671559.43372599
37,0,-2670340.999023985,-4469713.6604830725,3671559.54279372
37,1,-2670342.0109651233,-4469713.995944213,3671558.6132577187
37,2,-2670341.2483252143,-4469714.359698308,3671558.6207629438
38,0,-2670348.588199477,-4469702.694623317,3671565.4025361864
38,1,-2670348.946707467,-4469703.094825505,3671564.504060003
38,2,-2670348.1108451886,-4469703.425393993,3671564.794635921
39,0,-2670356.3697101236,-4469698.038271614,3671565.013533652
39,1,-2670356.588543657,-4469697.273071415,3671565.746207337
39,2,-2670357.6264859787,-4469696.986257792,3671565.4985617893
40,0,-2670342.0109651233,-4469713.995944213,3671558.6132577187
40,1,-2670342.514288543,-4469714.609755229,3671557.6282377704
40,2,-2670341.568786553,-4469714.857645795,3671557.925257305
41,0,-2670341.2483252143,-4469714.359698308,3671558.6207629438
41,1,-2670342.0109651233,-4469713.995944213,3671558.6132577187
41,2,-2670341.568786553,-4469714.857645795,3671557.925257305
42,0,-2670342.514288543,-4469714.609755229,3671557.6282377704
42,1,-2670342.2111268314,-4469715.40199452,3671557.2347512525
42,2,-2670341.568786553,-4469714.857645795,3671557.925257305
43,0,-2670325.5930500827,-4469695.4540750375,3671591.343388091
43,1,-2670326.1129592345,-4469695.632270339,3671592.497064856
43,2,-2670329.4535333016,-4469698.964994092,3671594.7081907312
44,0,-2670332.9136263197,-4469700.9610299785,3671590.0362511575
44,1,-2670332.0451992666,-4469701.073495472,3671590.52772015
44,2,-2670332.3949157167,-4469700.434190629,3671590.944479398
45,0,-2670331.2676319494,-4469701.068959649,3671591.0950260623
45,1,-2670332.0583894337,-4469699.934338693,3671591.7920898027
45,2,-2670332.3949157167,-4469700.434190629,3671590.944479398
46,0,-2670332.0451992666,-4469701.073495472,3671590.52772015
46,1,-2670331.2676319494,-4469701.068959649,3671591.0950260623
46,2,-2670332.3949157167,-4469700.434190629,3671590.944479398
47,0,-2670342.411048627,-4469716.040161515,3671556.3185699764
47,1,-2670342.2111268314,-4469715.40199452,3671557.2347512525
47,2,-2670343.5345290597,-4469715.67704204,3671555.9113685302
48,0,-2670334.1316581424,-4469703.548970404,3671574.607561797
48,1,-2670334.7652623346,-4469704.03083857,3671573.6188697345
48,2,-2670333.5270302566,-4469704.268386711,3671574.139902933
49,0,-2670316.1000627424,-4469707.509416662,3671583.347762662
49,1,-2670316.306266538,-4469708.189475856,3671582.2381888046
49,2,-2670315.4156035664,-4469708.454570267,3671582.6648026733
50,0,-2670318.0390341347,-4469717.2527600145,3671570.3025431368
50,1,-2670317.4112435454,-4469717.037876572,3671570.9987247908
50,2,-2670318.7709707916,-4469716.345134019,3671570.940372368
51,0,-2670313.7106063645,-4469713.505381926,3671577.96162885
51,1,-2670312.5998732923,-4469714.052166847,3671578.102954343
51,2,-2670313.2871852224,-4469712.982950115,3671578.933883131
52,0,-2670343.6451333864,-4469710.691743208,3671561.3245716104
52,1,-2670342.506255848,-4469710.671841125,3671561.8778454345
52,2,-2670343.7078558602,-4469710.159354636,3671561.7675820473
53,0,-2670317.4997387794,-4469693.767824892,3671598.798321509
53,1,-2670318.5018740594,-4469693.1244163485,3671598.765924836
53,2,-2670318.0683133285,-4469693.947136833,3671598.205222836
54,0,-2670318.8561620126,-4469709.279974623,3671579.3362146723
54,1,-2670317.6518954537,-4469709.697720123,3671579.5975155523
54,2,-2670318.4229192967,-4469709.164488907,3671579.8234533165
55,0,-2670349.257307555,-4469703.483032096,3671563.8620117186
55,1,-2670349.0200746977,-4469704.327203831,3671562.9607536006
55,2,-2670348.447067285,-4469703.796321442,3671564.103143419
56,0,-2670348.946707467,-4469703.094825505,3671564.504060003
56,1,-2670349.257307555,-4469703.483032096,3671563.8620117186
56,2,-2670348.447067285,-4469703.796321442,3671564.103143419
57,0,-2670348.1108451886,-4469703.425393993,3671564.794635921
57,1,-2670348.946707467,-4469703.094825505,3671564.504060003
57,2,-2670348.447067285,-4469703.796321442,3671564.103143419
58,0,-2670330.1607579347,-4469691.522564796,3671591.9335518316
58,1,-2670330.957671869,-4469691.300540977,3671591.643515152
58,2,-2670330.027627085,-4469691.7785750525,3671591.7892594165
59,0,-2670325.135378377,-4469716.805389263,3671565.8025388685
59,1,-2670324.177338373,-4469717.183580978,3671566.037418543
59,2,-2670324.9474574313,-4469716.263588199,3671566.731716053
60,0,-2670327.2200538083,-4469705.796791633,3671579.405440651
60,1,-2670326.9418857074,-4469705.295048653,3671580.213174793
60,2,-2670326.753614785,-4469704.094740654,3671579.1921199486
61,0,-2670311.410223985,-4469698.853559614,3671597.1172542972
61,1,-2670307.3829095718,-4469705.892006424,3671591.7921096343
61,2,-2670305.270695155,-4469708.970544133,3671589.5954459556
62,0,-2670364.1358797746,-4469683.113042416,3671577.450849922
62,1,-2670362.790486647,-4469683.669984287,3671577.887669388
62,2,-2670362.9291719515,-4469683.017687672,3671578.472614917
63,0,-2670363.9887032127,-4469683.8172642235,3671576.5501156994
63,1,-2670364.1358797746,-4469683.113042416,3671577.450849922
63,2,-2670364.4609149294,-4469683.075773186,3671577.088310366
64,0,-2670323.062912892,-4469689.614371455,3671599.715016021
64,1,-2670324.0197015298,-4469689.2548447205,3671599.5275706607
64,2,-2670323.7461643605,-4469689.602131531,3671599.236145872
65,0,-2670328.598670125,-4469686.53474065,3671599.249316339
65,1,-2670327.525018677,-4469687.235983754,3671599.3498291187
65,2,-2670328.212596464,-4469686.495250294,3671599.714225025
66,0,-2670334.6587833054,-4469698.482199925,3671591.479212398
66,1,-2670335.011414435,-4469698.935688654,3671590.7451330274
66,2,-2670334.2822729535,-4469698.821092309,3671591.3759924793
67,0,-2670357.6264859787,-4469696.986257792,3671565.4985617893
67,1,-2670356.588543657,-4469697.273071415,3671565.746207337
67,2,-2670357.149449992,-4469696.381266496,3671566.609399044
68,0,-2670317.6255749087,-4469714.47408312,3671574.1169722266
68,1,-2670317.2237990624,-4469714.973687395,3671573.7685556486
68,2,-2670316.847217623,-4469714.430507033,3671574.6975081926
69,0,-2670317.2237990624,-4469714.973687395,3671573.7685556486
69,1,-2670316.2216733736,-4469715.282312217,3671574.067586058
69,2,-2670316.847217623,-4469714.430507033,3671574.6975081926
70,0,-2670335.9379512076,-4469703.141252406,3671585.2318474133
70,1,-2670335.54190887,-4469702.874467215,3671585.667865909
70,2,-2670336.091019852,-4469702.9326130515,3671585.25262388
71,0,-2670334.7652623346,-4469704.03083857,3671573.6188697345
71,1,-2670335.6061872984,-4469703.561258966,3671573.4927430446
71,2,-2670335.0080156527,-4469704.438544546,3671572.864062059
72,0,-2670330.7889555246,-4469702.384923994,3671589.7804234587
72,1,-2670331.946856124,-4469702.4790849555,3671588.8126556897
72,2,-2670330.8143529696,-4469702.953406683,3671588.9882437647
73,0,-2670330.160097468,-4469702.53485518,3671590.018937469
73,1,-2670330.7889555246,-4469702.384923994,3671589.7804234587
73,2,-2670330.8143529696,-4469702.953406683,3671588.9882437647
74,0,-2670329.4535333016,-4469698.964994092,3671594.7081907312
74,1,-2670329.5906610284,-4469698.369832913,3671595.3633737587
74,2,-2670329.8210468413,-4469698.872522155,3671594.6235746024
75,0,-2670336.091019852,-4469702.9326130515,3671585.25262388
75,1,-2670335.54190887,-4469702.874467215,3671585.667865909
75,2,-2670335.824615772,-4469702.564132914,3671586.046184519
76,0,-2670336.0103256954,-4469705.359711429,3671571.0777280866
76,1,-2670335.529652455,-4469705.555997346,3671571.204945013
76,2,-2670335.449192202,-4469704.991118781,3671571.9289026563
77,0,-2670347.806158861,-4469693.774061039,3671576.4786449145
77,1,-2670347.8960909527,-4469694.504813916,3671575.6854615565
77,2,-2670349.3786359653,-4469698.665910121,3671579.9649004447
78,0,-2670313.7256316952,-4469695.149774709,3671599.854079405
78,1,-2670313.795804262,-4469695.463052094,3671599.5281929746
78,2,-2670312.5348114087,-4469697.193716589,3671598.4155586176
79,0,-2670329.1646772292,-4469718.704208957,3671560.8022931023
79,1,-2670330.168462196,-4469717.7397489445,3671561.364255673
79,2,-2670330.3477546144,-4469718.257757179,3671560.711941227
80,0,-2670326.1827393896,-4469707.429508421,3671577.05762254
80,1,-2670325.6625741413,-4469708.2072627535,3671576.5102138603
80,2,-2670324.6894247034,-4469707.384930961,3671578.1214032057
81,0,-2670322.273738797,-4469699.534770712,3671588.1851135683
81,1,-2670325.513641314,-4469703.634508048,3671591.9427323053
81,2,-2670326.002665435,-4469703.468310647,3671591.7385473736
82,0,-2670339.8193974304,-4469717.4759198325,3671557.422341334
82,1,-2670340.248086846,-4469717.854614319,3671556.464611022
82,2,-2670339.33540979,-4469718.340060687,3671557.124385822
83,0,-2670349.99576946,-4469685.338857009,3671584.872451986
83,1,-2670350.486851656,-4469686.060593243,3671583.7139502093
83,2,-2670349.0907156165,-4469686.060034526,3671584.7924956866
84,0,-2670320.560151726,-4469692.350116666,3671598.266916783
84,1,-2670321.397123147,-4469692.171424924,3671597.895539741
84,2,-2670320.8706798665,-4469692.421205028,3671597.8529329714
85,0,-2670317.996101221,-4469702.639874488,3671587.60730477
85,1,-2670319.053239313,-4469702.224607467,3671587.155629487
85,2,-2670318.508303704,-4469702.905804102,3671586.6392321666
86,0,-2670337.5875471146,-4469719.244950525,3671557.8458394343
86,1,-2670338.4751059944,-4469718.670815666,3671557.466944541
86,2,-2670339.8545160647,-4469718.554845025,3671556.005855244
87,0,-2670338.4751059944,-4469718.670815666,3671557.466944541
87,1,-2670339.33540979,-4469718.340060687,3671557.124385822
87,2,-2670339.8545160647,-4469718.554845025,3671556.005855244
88,0,-2670339.33540979,-4469718.340060687,3671557.124385822
88,1,-2670340.248086846,-4469717.854614319,3671556.464611022
88,2,-2670339.8545160647,-4469718.554845025,3671556.005855244
89,0,-2670320.4092450896,-4469702.915757099,3671585.2709763995
89,1,-2670319.818201256,-4469703.323533735,3671585.101258685
89,2,-2670320.053427339,-4469702.656979364,3671585.702797365
90,0,-2670357.149449992,-4469696.381266496,3671566.609399044
90,1,-2670356.588543657,-4469697.273071415,3671565.746207337
90,2,-2670356.2269706256,-4469696.682959813,3671566.824725251
91,0,-2670323.658812952,-4469714.759182455,3671569.568445703
91,1,-2670324.080140491,-4469714.195689201,3671569.9108930286
91,2,-2670324.742875481,-4469714.411010391,3671569.2407586705
92,0,-2670337.4530395423,-4469710.243700529,3671565.8740063966
92,1,-2670336.2597654024,-4469710.651057854,3671565.8635255545
92,2,-2670336.963452083,-4469709.785100029,3671566.8341594776
93,0,-2670327.052120478,-4469701.841830525,3671581.8044859744
93,1,-2670330.818670564,-4469706.021851856,3671585.1881488385
93,2,-2670330.108869938,-4469706.413040016,3671585.158849529
94,0,-2670324.080140491,-4469714.195689201,3671569.9108930286
94,1,-2670323.688348477,-4469713.536772026,3671570.97352055
94,2,-2670324.404537573,-4469713.702586851,3671570.220978075
95,0,-2670324.742875481,-4469714.411010391,3671569.2407586705
95,1,-2670324.080140491,-4469714.195689201,3671569.9108930286
95,2,-2670324.404537573,-4469713.702586851,3671570.220978075
96,0,-2670324.1297580563,-4469705.602355535,3671590.2001832533
96,1,-2670320.539794097,-4469701.098748977,3671587.391189772
96,2,-2670323.7934866664,-4469705.447080307,3671590.492718095
97,0,-2670343.078149886,-4469687.403286439,3671589.6200680914
97,1,-2670341.942026486,-4469686.311234949,3671589.9649052187
97,2,-2670342.6575611294,-4469685.620421922,3671588.763046464
98,0,-2670321.2352429572,-4469716.159867416,3671569.452985425
98,1,-2670320.378364775,-4469715.772928476,3671570.436378723
98,2,-2670321.451675508,-4469715.795809924,3671569.7368540047
99,0,-2670315.880568411,-4469719.177376283,3671569.534703103
99,1,-2670317.3143888046,-4469718.706590523,3671569.085305309
99,2,-2670317.55430387,-4469719.222272321,3671568.2710753465
100,0,-2670318.3146902537,-4469718.524173091,3671568.6522472254
100,1,-2670318.323855851,-4469719.126074919,3671567.935028592
100,2,-2670317.55430387,-4469719.222272321,3671568.2710753465
101,0,-2670325.1926743886,-4469712.4249705,3671571.3347237348
101,1,-2670326.1561565786,-4469712.1864166185,3671571.013427222
101,2,-2670325.6281569703,-4469712.890890779,3671570.370263267
102,0,-2670318.5018740594,-4469693.1244163485,3671598.765924836
102,1,-2670317.4997387794,-4469693.767824892,3671598.798321509
102,2,-2670317.727944209,-4469693.202245831,3671599.3346487894
103,0,-2670338.4549372885,-4469706.004419278,3671568.5317590595
103,1,-2670338.651384056,-4469705.8086445285,3671568.5401873263
103,2,-2670339.0863219155,-4469706.349931163,3671567.5713572614
104,0,-2670337.304290485,-4469711.418700324,3671564.2841655845
104,1,-2670337.718089583,-4469712.113186179,3671563.214447869
104,2,-2670336.703453109,-4469712.201247516,3671563.8065244383
105,0,-2670335.529652455,-4469705.555997346,3671571.204945013
105,1,-2670336.0103256954,-4469705.359711429,3671571.0777280866
105,2,-2670336.1889285566,-4469706.202490905,3671569.89497088
106,0,-2670334.7652623346,-4469704.03083857,3671573.6188697345
106,1,-2670335.0080156527,-4469704.438544546,3671572.864062059
106,2,-2670334.4620208023,-4469704.75221366,3671572.8274251367
107,0,-2670335.0080156527,-4469704.438544546,3671572.864062059
107,1,-2670335.449192202,-4469704.991118781,3671571.9289026563
107,2,-2670334.4620208023,-4469704.75221366,3671572.8274251367
108,0,-2670323.688348477,-4469713.536772026,3671570.97352055
108,1,-2670322.7018947126,-4469713.903429599,3671571.10467392
108,2,-2670323.3451305088,-4469712.915950267,3671571.9549828516
109,0,-2670322.7018947126,-4469713.903429599,3671571.10467392
109,1,-2670322.487412075,-4469713.191710877,3671572.241244184
109,2,-2670323.3451305088,-4469712.915950267,3671571.9549828516
110,0,-2670338.2334249737,-4469706.6330919685,3671579.1606412306
110,1,-2670338.021970679,-4469706.875799543,3671579.00264877
110,2,-2670334.699188655,-4469702.7797132395,3671575.3868775144
111,0,-2670337.178877191,-4469706.904843252,3671579.1966354763
111,1,-2670338.021970679,-4469706.875799543,3671579.00264877
111,2,-2670334.699188655,-4469702.7797132395,3671575.3868775144
112,0,-2670329.1646772292,-4469718.704208957,3671560.8022931023
112,1,-2670330.3477546144,-4469718.257757179,3671560.711941227
112,2,-2670331.36930983,-4469718.190996237,3671560.417344136
113,0,-2670323.6552376132,-4469698.270674098,3671589.3893135604
113,1,-2670324.0349727585,-4469699.892303844,3671590.833610651
113,2,-2670325.684426797,-4469701.152706968,3671592.799287759
114,0,-2670339.7028356157,-4469688.4724020865,3671588.779342585
114,1,-2670338.6891792826,-4469688.778261371,3671588.986403206
114,2,-2670338.7011351944,-4469688.52533057,3671589.4045544756
115,0,-2670339.7016457748,-4469687.773236773,3671589.62568278
115,1,-2670339.7028356157,-4469688.4724020865,3671588.779342585
115,2,-2670338.7011351944,-4469688.52533057,3671589.4045544756
116,0,-2670326.753614785,-4469704.094740654,3671579.1921199486
116,1,-2670326.9418857074,-4469705.295048653,3671580.213174793
116,2,-2670326.1999143804,-4469703.704254054,3671580.1680490384
117,0,-2670316.0579470904,-4469705.536775241,3671586.3510285234
117,1,-2670316.364343215,-4469706.518345246,3671586.514721348
117,2,-2670315.7777487272,-4469705.563520798,3671586.503862931
118,0,-2670308.042539385,-4469710.797566228,3671585.3660516734
118,1,-2670307.652717988,-4469710.160594737,3671586.417985561
118,2,-2670308.543632995,-4469709.842516898,3671586.1070900117
119,0,-2670308.1314634914,-4469709.408012635,3671586.8785054153
119,1,-2670309.269395377,-4469709.089420582,3671586.527957537
119,2,-2670308.543632995,-4469709.842516898,3671586.1070900117
120,0,-2670307.652717988,-4469710.160594737,3671586.417985561
120,1,-2670308.1314634914,-4469709.408012635,3671586.8785054153
120,2,-2670308.543632995,-4469709.842516898,3671586.1070900117
121,0,-2670323.3451305088,-4469712.915950267,3671571.9549828516
121,1,-2670322.487412075,-4469713.191710877,3671572.241244184
121,2,-2670322.765919353,-4469712.571771443,3671572.7033171332
122,0,-2670323.608095104,-4469712.569613581,3671572.218351134
122,1,-2670323.3451305088,-4469712.915950267,3671571.9549828516
122,2,-2670322.765919353,-4469712.571771443,3671572.7033171332
123,0,-2670315.880568411,-4469719.177376283,3671569.534703103
123,1,-2670317.55430387,-4469719.222272321,3671568.2710753465
123,2,-2670314.8224487463,-4469719.453710057,3671569.8786889235
124,0,-2670326.002665435,-4469703.468310647,3671591.7385473736
124,1,-2670327.057469129,-4469703.055050209,3671591.458884606
124,2,-2670326.5362395756,-4469703.632669254,3671591.2579192123
125,0,-2670315.015305945,-4469698.439722742,3671594.9783628588
125,1,-2670314.7870691144,-4469698.074962515,3671595.739843853
125,2,-2670315.669089326,-4469697.802162835,3671595.501547213
126,0,-2670314.7870691144,-4469698.074962515,3671595.739843853
126,1,-2670315.145865521,-4469697.657663852,3671596.071606647
126,2,-2670315.669089326,-4469697.802162835,3671595.501547213
127,0,-2670340.248086846,-4469717.854614319,3671556.464611022
127,1,-2670339.8193974304,-4469717.4759198325,3671557.422341334
127,2,-2670340.9986597835,-4469716.831118664,3671557.2981951004
128,0,-2670339.8193974304,-4469717.4759198325,3671557.422341334
128,1,-2670340.2823464065,-4469716.245144633,3671558.05793593
128,2,-2670340.9986597835,-4469716.831118664,3671557.2981951004
129,0,-2670341.198812307,-4469703.751180808,3671569.2567170863
129,1,-2670344.6967780385,-4469707.075497774,3671573.817399853
129,2,-2670344.2771789874,-4469707.944094219,3671572.811068071
130,0,-2670315.866592067,-4469715.931705812,3671573.6424968555
130,1,-2670315.0670261183,-4469717.005411914,3671572.697214691
130,2,-2670314.906411411,-4469716.323270882,3671573.8109217575
131,0,-2670328.212596464,-4469686.495250294,3671599.714225025
131,1,-2670327.525018677,-4469687.235983754,3671599.3498291187
131,2,-2670327.098562366,-4469686.889025047,3671600.008422579
132,0,-2670313.6126254736,-4469698.298949216,3671596.1793517773
132,1,-2670314.7870691144,-4469698.074962515,3671595.739843853
132,2,-2670314.0858182674,-4469698.826299915,3671595.2170204255
133,0,-2670314.7870691144,-4469698.074962515,3671595.739843853
133,1,-2670315.015305945,-4469698.439722742,3671594.9783628588
133,2,-2670314.0858182674,-4469698.826299915,3671595.2170204255
134,0,-2670349.979989916,-4469700.223870982,3671567.142883141
134,1,-2670350.2193286815,-4469699.565890461,3671567.8001845554
134,2,-2670351.1102112164,-4469699.766068862,3671567.000786141
135,0,-2670349.0907156165,-4469686.060034526,3671584.7924956866
135,1,-2670348.3320721993,-4469684.695586328,3671584.9003091417
135,2,-2670349.5966806146,-4469686.16660309,3671585.6282525556
136,0,-2670349.99576946,-4469685.338857009,3671584.872451986
136,1,-2670349.0907156165,-4469686.060034526,3671584.7924956866
136,2,-2670349.5966806146,-4469686.16660309,3671585.6282525556
137,0,-2670318.595303098,-4469707.480260806,3671581.5973987393
137,1,-2670317.6465042257,-4469708.291390386,3671581.198404185
137,2,-2670317.3630421036,-4469707.798165208,3671581.9478359073
138,0,-2670322.69717935,-4469718.134098396,3671565.957443416
138,1,-2670323.9425821095,-4469718.341289174,3671564.6861090306
138,2,-2670322.062656635,-4469719.048843678,3671565.361547718
139,0,-2670321.8512716177,-4469718.406332754,3671566.135782101
139,1,-2670322.69717935,-4469718.134098396,3671565.957443416
139,2,-2670322.062656635,-4469719.048843678,3671565.361547718
140,0,-2670306.1989045707,-4469710.083407467,3671587.4408232057
140,1,-2670305.3399335993,-4469710.37783149,3671587.774516982
140,2,-2670305.713761901,-4469709.562730993,3671588.6110253595
141,0,-2670326.907423614,-4469705.5990547445,3671577.8664927767
141,1,-2670327.2200538083,-4469705.796791633,3671579.405440651
141,2,-2670326.955762519,-4469704.701874711,3671578.380967971
142,0,-2670327.2200538083,-4469705.796791633,3671579.405440651
142,1,-2670326.753614785,-4469704.094740654,3671579.1921199486
142,2,-2670326.955762519,-4469704.701874711,3671578.380967971
143,0,-2670337.718089583,-4469712.113186179,3671563.214447869
143,1,-2670337.304290485,-4469711.418700324,3671564.2841655845
143,2,-2670338.407852369,-4469711.310818197,3671563.910938461
144,0,-2670320.239145934,-4469718.3306528535,3671567.4785012277
144,1,-2670319.6858537365,-4469719.149150481,3671566.905753155
144,2,-2670319.2001428744,-4469719.133578126,3671567.223702585
145,0,-2670317.55430387,-4469719.222272321,3671568.2710753465
145,1,-2670318.323855851,-4469719.126074919,3671567.935028592
145,2,-2670319.2001428744,-4469719.133578126,3671567.223702585
146,0,-2670340.066171204,-4469704.735721515,3671580.0272047925
146,1,-2670341.021622273,-4469704.014959311,3671580.5194129245
146,2,-2670341.3992784326,-4469704.423494346,3671579.5106514012
147,0,-2670325.6281569703,-4469712.890890779,3671570.370263267
147,1,-2670326.1561565786,-4469712.1864166185,3671571.013427222
147,2,-2670326.2580814078,-4469712.376145835,3671570.5894175693
148,0,-2670328.994195111,-4469715.031230637,3671565.45353807
148,1,-2670329.26399793,-4469715.518971595,3671564.634224865
148,2,-2670327.6031367546,-4469716.156773122,3671565.1320821526
149,0,-2670352.7044658996,-4469707.593732125,3671557.9550657645
